Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 02, 2023","1,836.20","1,868.20","1,834.80","1,864.20","1,864.20",104
"Dec 26, 2022","1,803.40","1,826.30","1,803.10","1,819.70","1,819.70",875
"Dec 19, 2022","1,791.60","1,821.40","1,785.00","1,795.90","1,795.90",625
"Dec 12, 2022","1,787.30","1,819.80","1,774.80","1,790.00","1,790.00","1,991"
"Dec 05, 2022","1,795.70","1,808.00","1,764.30","1,798.10","1,798.10","3,078"
"Nov 28, 2022","1,741.30","1,803.70","1,737.90","1,795.90","1,795.90","158,300"
"Nov 21, 2022","1,739.00","1,757.90","1,736.10","1,753.30","1,753.30",814
"Nov 14, 2022","1,762.00","1,778.90","1,747.60","1,751.90","1,751.90","1,150"
"Nov 07, 2022","1,676.90","1,766.00","1,672.90","1,766.00","1,766.00","1,144"
"Oct 30, 2022","1,641.80","1,674.50","1,615.10","1,672.50","1,672.50","3,705"
"Oct 23, 2022","1,662.70","1,667.00","1,637.30","1,639.60","1,639.60","3,922"
"Oct 16, 2022","1,650.20","1,657.00","1,622.80","1,651.00","1,651.00","1,620"
"Oct 09, 2022","1,693.40","1,693.40","1,640.00","1,641.70","1,641.70","1,322"
"Oct 02, 2022","1,667.20","1,728.00","1,661.90","1,700.50","1,700.50","1,431"
"Sep 25, 2022","1,623.30","1,672.70","1,620.40","1,662.40","1,662.40","26,980"
"Sep 18, 2022","1,661.80","1,680.10","1,645.30","1,645.30","1,645.30","7,944"
"Sep 11, 2022","1,727.40","1,728.10","1,651.70","1,671.70","1,671.70","2,621"
"Sep 04, 2022","1,709.70","1,720.00","1,694.70","1,716.20","1,716.20","3,176"
"Aug 28, 2022","1,732.40","1,741.20","1,693.90","1,709.80","1,709.80","4,333"
"Aug 21, 2022","1,740.50","1,761.80","1,726.50","1,736.10","1,736.10","1,417"
"Aug 14, 2022","1,799.00","1,799.00","1,747.50","1,747.60","1,747.60",765
"Aug 07, 2022","1,771.80","1,804.90","1,771.80","1,798.60","1,798.60","2,399"
"Jul 31, 2022","1,763.90","1,792.10","1,753.00","1,772.90","1,772.90","3,112"
"Jul 24, 2022","1,727.00","1,765.70","1,717.70","1,762.90","1,762.90","185,654"
"Jul 17, 2022","1,712.20","1,735.00","1,679.80","1,727.10","1,727.10","2,322"
"Jul 10, 2022","1,732.50","1,736.70","1,701.10","1,702.40","1,702.40","2,904"
"Jul 03, 2022","1,805.40","1,805.40","1,732.10","1,740.60","1,740.60","4,032"
"Jun 26, 2022","1,830.50","1,830.70","1,791.60","1,798.90","1,798.90","1,046"
"Jun 19, 2022","1,835.30","1,842.70","1,815.80","1,826.50","1,826.50",401
"Jun 12, 2022","1,873.80","1,873.80","1,805.30","1,835.60","1,835.60","1,077"
"Jun 05, 2022","1,849.00","1,875.60","1,823.90","1,871.50","1,871.50","3,177"
"May 29, 2022","1,850.30","1,871.80","1,825.30","1,845.40","1,845.40","6,300"
"May 22, 2022","1,846.30","1,867.00","1,840.40","1,851.30","1,851.30","153,695"
"May 15, 2022","1,790.50","1,841.80","1,787.00","1,841.80","1,841.80",714
"May 08, 2022","1,866.60","1,867.50","1,807.40","1,807.40","1,807.40","3,224"
"May 01, 2022","1,896.70","1,904.30","1,853.00","1,881.20","1,881.20","1,146"
"Apr 24, 2022","1,925.00","1,925.00","1,872.90","1,909.30","1,909.30","3,481"
"Apr 17, 2022","1,973.40","1,997.10","1,930.20","1,931.00","1,931.00","1,129"
"Apr 10, 2022","1,946.60","1,981.00","1,941.80","1,970.90","1,970.90",714
"Apr 03, 2022","1,921.20","1,947.70","1,915.60","1,941.60","1,941.60","1,385"
"Mar 27, 2022","1,932.60","1,949.90","1,893.50","1,919.10","1,919.10","150,456"
"Mar 20, 2022","1,925.40","1,964.00","1,920.70","1,953.80","1,953.80",326
"Mar 13, 2022","1,976.50","1,977.70","1,907.20","1,928.20","1,928.20",387
"Mar 07, 2022","1,989.00","2,072.00","1,959.90","1,982.70","1,982.70","6,886"
"Feb 28, 2022","1,928.30","1,970.90","1,894.20","1,965.10","1,965.10","1,215"
"Feb 21, 2022","1,908.10","1,972.50","1,883.60","1,886.50","1,886.50","3,589"
"Feb 14, 2022","1,861.80","1,900.70","1,847.40","1,898.60","1,898.60",643
"Feb 07, 2022","1,812.20","1,864.80","1,809.10","1,840.80","1,840.80","1,938"
"Jan 31, 2022","1,788.50","1,813.70","1,785.10","1,806.60","1,806.60","4,685"
"Jan 24, 2022","1,837.90","1,852.70","1,778.80","1,784.90","1,784.90","224,631"
"Jan 17, 2022","1,816.80","1,843.10","1,812.30","1,831.80","1,831.80","1,759"
"Jan 10, 2022","1,794.90","1,827.20","1,790.40","1,816.50","1,816.50","3,680"
"Jan 03, 2022","1,830.10","1,830.10","1,784.40","1,797.00","1,797.00",209
"Dec 27, 2021","1,810.00","1,827.80","1,791.40","1,827.50","1,827.50","1,305"
"Dec 20, 2021","1,796.80","1,811.20","1,785.50","1,811.20","1,811.20","1,561"
"Dec 13, 2021","1,784.40","1,812.90","1,753.90","1,803.80","1,803.80","1,486"
"Dec 06, 2021","1,780.20","1,789.90","1,769.10","1,782.90","1,782.90","3,072"
"Nov 29, 2021","1,791.70","1,808.10","1,760.60","1,782.00","1,782.00","35,208"
"Nov 22, 2021","1,841.60","1,841.60","1,781.40","1,785.30","1,785.30","187,454"
"Nov 15, 2021","1,864.50","1,869.70","1,851.20","1,851.20","1,851.20",120
"Nov 08, 2021","1,817.00","1,867.90","1,816.90","1,867.90","1,867.90","1,728"
"Oct 31, 2021","1,787.50","1,817.10","1,761.80","1,816.40","1,816.40",805
"Oct 24, 2021","1,794.30","1,809.00","1,774.60","1,783.00","1,783.00","2,077"
"Oct 17, 2021","1,761.60","1,806.90","1,759.50","1,795.50","1,795.50","1,122"
"Oct 10, 2021","1,756.60","1,799.90","1,749.80","1,767.20","1,767.20","1,628"
"Oct 03, 2021","1,764.50","1,780.00","1,744.70","1,756.30","1,756.30","1,161"
"Sep 26, 2021","1,751.70","1,762.60","1,721.40","1,757.00","1,757.00","26,407"
